"Dyad ID","Thought Unit","Speaker","ANNOTATION"
20,330,Grocery,No we talked about 8:30 am.,RN
20,331,Wine,8:30 is a little…,MIN
20,332,Wine,Grocery,We talked about 8:30.,OS
20,333,Wine,It’s plenty of time.,SBR
20,334,Wine,"Too early,too early…I always…",SBR
20,335,Grocery,The people buying wine they…,SBR
20,336,Wine," No,no, no.",M INEG
20,337,Wine,Because for my wine always they want people buy also maybe later of the morning and then later of the night.,SBR
20,338,Wine,That’s it for me.,IB
20,339,Wine,"So,9:30 I can accept that and I can accept the July 1rst.",OM
20,340,Grocery,July 1rst?,QM
20,341,Grocery,"No,no. August 1rst, August 1rst.",OM
20,342,Wine,Okay August 1rst I can accept. ,MIC
20,343,Grocery,You want August 1 and 8:30.,OM
20,344,Wine,8:30 if you can accept that.,MIN
20,345,Wine,Another is...,MIN
20,346,Grocery,8:30?,QM
20,347,Grocery,August 1rst and 8:30?,OM
20,348,Wine,9:30,OM
20,349,Grocery,9:30?,QM
20,350,Grocery,9.30 No one will be able to come in for our pastries.,SBR
20,351,Grocery,At 8:30 we may get the late crowd.,SBR
20,352,Grocery," What if? How much do you want for renovation cost,25,000? Are you still standing on that 25,000?...",QP
20,353,Grocery,"I’ll give you 25,000 for renovation costs.",OM
20,354,Wine,"25,000 to the…",MIN
20,355,Grocery,If you give me 8:30 and August 1rst.,OM
20,356,Wine,"8:30 is too,too, for me.",IP
20,357,Wine,"Yes half of my business will go,you know.",SBR
20,358,Wine,I want to not be open early.,IP
20,359,Wine,Because most people come in the afternoon and the night.,SBR
20,360,Wine,"But your,but your….",MIN
20,361,Grocery,That’s well into the evening. That’s well into the night.,SBR
20,362,Grocery,Wine,8:30 pm closing is too early.,SBR
20,363,Grocery,You know some people…,SBR
20,364,Grocery,It’s too early?,QS
20,365,Wine,"Drink. Always they at the later,late of the night.",SBR
20,366,Wine,You could’t want 8:30 to...,SBR
20,367,Grocery,"Maybe the students at the school,you know.",SBR
20,368,Wine,Because they sell special wine.,SBR
20,369,Wine,"Just for the,for the customers is no students.",SBR
20,370,Grocery,I know that’s what I’m saying. I know students don’t shop.,SBR
20,371,Grocery,Wine,"We always have business people. You know,business people.",SBR
20,372,Grocery,Business people who…,MIN
20,373,Wine,Business people always come in all the time. They couldn’t come later.,SBR
20,374,Wine,Grocery,After 8:30.,SBR
20,375,Wine,"You know,for me, most of my business is…is for long after 6 PM.",SBR
20,376,Wine,"Started,maybe just 20 percent of business maybe at noon, at the, at the day time.",SBR
20,377,Wine,"At the night time after 6PM,I can do my business.",SBR
20,378,Grocery,And you have two and a half hours till 8:30.,SBR
20,379,Wine,"But. Just two hours can’t be,you know. Two hours of business is too…",SBR
20,380,Grocery,It’s not enough?,QS
20,381,Wine,"You know wine always is too…no,no I couldn’t afford.",SBR
20,382,Wine,"Even I couldn’t run my business,you know.",SBR
20,383,Grocery,I can get a package for you…,PP
20,384,Wine,9:30 is my bottomline.,IB
20,385,Grocery,"Well,what if we made a compromise in temperature.",PC
20,386,What if…,MIN
20,387,Wine,Temperature I can?,QM
20,388,Grocery,What if I give you your 67 degrees temperature…,MIN
20,389,Wine,For me.,MIN
20,390,Grocery,I give you your 25 thousand in renovations.,MIN
20,391,Wine,For me.,MIN
20,392,Wine,Which one?,QM
20,393,Grocery,I give you 25 thousand for renovations and 67 in temperaure.,OM
20,394,"And you give me August 1rst,August 1rst and 8:30.",
20,395,"And you give me August 1rst,,"August 1rst,8:30, 25,000 and 67 degrees.",MIN
20,396,"And you give me August 1rst,You can have your temperature…,SBR
20,397,Wine,"August 1rst,I can accept that. But you give me 67 degree.",OM
20,398,Wine,Grocery,I’ll give you 67 degrees. I’ll give you 25 thousand dollars. I need the 8:30/ because I won’t have any business in the morning.,OM/SBR
20,399,Wine,8:30 I couldn’t accept.,RN
20,400,Grocery,I can’t I feel that I wont have any business.,SBR
20,401,Wine,"8:30 for me,I just have two hours at night.",SBR
20,402,Grocery,"But I will have no morning,I’ll have no business in the morning.",SBR
20,403,Grocery,30 percent of my business in the morning will be cut off.,SBR
20,404,Wine,"No I think for your,your other morning. I think your just have 10, 10 percent business at the early morning.",SBR
20,405,Wine,Even your going to have business…,SBR
20,406,Grocery,No.,MI-NEG
20,407,Grocery,I’m telling you 30 percent.,PW
20,408,Grocery,30 percent.,SBR
20,409,Wine,"No,No 30 percent because…",MI-NEG
20,410,Grocery,Those are my numbers.,SBR
20,411,Grocery,My numbers say 30%.,SBR
20,412,Wine,"No,No.",MI-NEG
20,413,Wine,"For me,I think because at the day time just twenty percent. I just have business at 20 percent at the night, day time.",SBR
20,414,Wine,,
20,415,Wine,At this my borderline should be 9:30,IB
20,416,Grocery,9:30?,QM
20,417,Grocery,I’ll have no business in the morning. No business.,SBR
20,418,Wine,Too early. That’s it to me its to early,IP
20,419,Grocery,It’s too late,MINEG
20,420,Wine:,"At the day time,I can close store I have no business. My wine business is always after 6 PM. Atleast after 6 PM people come back so they buy the, come back and buy wine.",SBR
20,421,Grocery,"There is not much time left,there is not much time left..",PT
20,422,Grocery,What if you give me a higher temperature and give me 9:30.,PP
20,423,Grocery,What if you give me 71 degrees and I will give you 9:30. 9:30 am in exchange for 71 degrees.,OM
20,424,Wine:,I can accept 69.,RP
20,425,Wine:,69 and you give me 9:30.,OM
20,426,Wine:,"That’s we can,I can accept.",MIN
20,427,Grocery,Would you give me August 1rst?,OS
20,428,Wine:,Yeah I can give you August.,MIC
20,429,Wine:,Oh yeah.,MIN
20,430,Wine:,That we can make a deal.,MIC
20,431,Grocery,Will  you give me 20 thousand on the renovations?,OS
20,432,Wine,Yeah.,RP
20,433,Wine,20 thousand.,MIN
20,434,Grocery:,You really want the 9:30?,QP
20,435,Wine:,So we can make a deal?,OS
20,436,Grocery:,So let’s say 9:30…20 thousand…69 and August.,OM
20,437,Wine:,Yeah.,RP
20,438,Wine:,That’s fine right there.,MIC
20,439,Wine:,Okay.,MIN
20,440,Wine:,Thank you.,MIC
20,441,Grocery:,Thank you,MIC
21,0,Group 21
21,1,Name of Coder: Pooja
21,2,Date:4/18/06
21,3,Wine,"Okay,well we have 5 things to talk about, so we gotta figure out…",PO
21,4,Grocery,Do you want to start talking about all of them at once or maybe one at a time?,PO
21,5,Wine,"Well,why don’t we do one at a time and then we can go back to the ones that we’re still having trouble with and then we can figure out what to do from there.",PO
21,6,Grocery,"Sure,okay.",MIC
21,7,Wine,"Well,I think we gotta start off with hours, I mean, you know, I really…",P1
21,8,Grocery," Okay,let me flip to that.",MIN
21,9,Wine,"I really need to be open pretty late,I mean, people…",IP
21,10,Grocery,How late?,QP
21,11,Wine,"Well,10:30 would be great.",IP
21,12,Grocery,Can I tell you something?,MIN
21,13,Wine,What?,MIN
21,14,Grocery,"Well in this situation,I’m staring at exactly the opposite end.",IP
21,15,Grocery,"So,you know what I need right?",QM
21,16,Wine,"Well,you know, what sort of offer would you…I mean, you know, /I’ve gotta have it open late at night,",QP/IP
21,17,Wine,that’s when people buy wine.,SBR
21,18,Grocery,"Honestly,I’ll be willing to…I will prefer sometime between 6:30 opening to 8:30 opening but those are the ones most acceptable to me.",IP
21,19,Grocery,Probably the 8:30 will be the one that I will offer as the concession if such a situation because it’s in between the hours.,PC
21,20,Grocery,"I’m,and of course, I probably, I might be able to offer you concession on one issue and then if you offer me something on another issue, if you want to do that.",PC
21,21,Wine,"Well,I mean the issue that I really, you know, is the whole idea of how much to put in for renovation.",IR
21,22,Grocery,Let’s just make sure of something.,MIN
21,23,Grocery,"Is it for every issue that we’re doing,like what’s the ideal for you is I’m the opposite and not directly opposed is ideal for me, you know what I mean?",OT
21,24,Wine,"Well,I think that’s… that may well be, I don’t know, I suspect, you know. That very well may be.",OT
21,25,Wine,"But you know,in other words, you…",MIN
21,26,Grocery,"Well,I think if we want to be honest we shouldn’t consider the time or what place it is, we should probably consider how many points that we’re conceding or not conceding if you want to do that.",OT
21,27,Grocery,You know what I mean?,QM
21,28,Grocery,What do you think about?,QM
21,29,Wine,"Well,you know, I would say that the issue of renovation would be the one that’s most important to me.",IR
21,30,Grocery,"Okay,so for renovation, for renovation, how much would you like to spend for renovation?",QP
21,31,Wine,"$30,000.00 ",IP
21,32,Grocery,"Mmm,what if I offer $20,000?",OS
21,33,Grocery,"Well for me,ideally, 10,000 is best",IP
21,34,Grocery,"but what if I offer you 20,000,would you be willing to consider that?",OS
21,35,Wine,"Well,if the goal of this was to get something in the middle of, you  know, I’d be willing to open at 8:30 if I can get $25,000 for renovation.",OM
21,36,Grocery,Open at 8:30 and 25…let me see.,MIN
21,37,Grocery," Hmm,what about other issues also?",QP
21,38,Wine,"Well,what would you do for floor space?",P1
21,39,Grocery,"Floor space,I think I’d like to start off proposing 70% for me and in that case, I’ll be willing to….let me take a look.",IP
21,40,Grocery," If floor space,you give me 70%, I’ll be willing to do 8:30 for the opening time I think.",OM
21,41,Grocery,"Actually,let me see. That might be a good idea.",MIN
21,42,Grocery,"If I offered you 20,000 for renovation,If I was willing to do 8:30 but floor space you offered me 70%, and temperature, if you offer me 71 degrees, but grand opening date maybe be July 1st.",OM
21,43,Grocery,I’ll prefer it to be August 1st but I’ll be willing to take July 1st for opening date.,IP
21,44,Grocery,Wine,"Well I mean,for me though, renovation and temperature is sort of more important, I mean.",IR
21,45,Grocery,So those are the two most important for you.,IN-P
21,46,Grocery,"For me,the two most important issues are hours of operation and grand opening date.",IR
21,47,Grocery,"So what I suspect here is that even though we’re doing the same thing,we have different numbers. Like your numbers are probably more heavily concentrated on what is important to you and then in that instance, I should concede to you on what’s more important to you which is less important to me, and if you can conceded on what is more important to me and less important for you.",OT
21,48,Wine,"Well okay,what’s most important for me are, is the renovation and hours of operation,/ those are the ones where….getting a later hour of operation and getting more money for renovation is…",IR/ IP
21,49,Grocery,Well hours of operation is the second most important issue to me.,IR
21,50,Grocery,"Well,if you were willing to make a concession on the grand opening date, I’ll probably be willing to make a concession on hours of operation.",PP
21,51,Grocery,I wouldn’t need the grand opening date to be September 1st but see if it was August 1st that would still seem pretty good to me.,IP
21,52,Grocery,But it doesn’t hurt you a lot to have it on September 1st but it would help me a lot by the number.,SBR
21,53,Wine,I would be willing to do September the 1st if you’re willing to do 9:30 to 9:30.,OM
21,54,Grocery,Mmm…let me see.,MIN
21,55,Grocery,9:30 to 9:30?,QM
21,56,Grocery,How about this?,MIN
21,57,Grocery,"If we do September 1st,if we do also 8:30 to 8:30, I offer you the 20,000 for renovation and we can reach some middle ground on the temperature and maybe the floor space if that is alright…",OM
21,58,Grocery,"I’m still a little…little bit reluctant to concede on hours of operation to that extent. You know,I still get some value but it’s significantly lesser than possible.",Mineg/IR
21,59,Grocery,I think it’ll be fair if we settle on the 8:30 to 8:30.,RT
21,60,Wine,"Yeah,okay, if I get 25,000 for...",MIN
21,61,Grocery,"Okay,25,000 on renovation cost, I’ll be okay with that if we go September 1st and 8:30 to 8:30.",OM
21,62,Wine,"Okay,okay.",RP
21,63,Grocery,"So it looks like we worked out a couple of those,now at least two more.",PO
21,64,Grocery,"What about floor space,like, what’s ideal for you or?",QP
21,65,Wine,"Well,I mean, ideally 60/40…40% is better than anything else.",IP
21,66,Grocery,So you like 40 for floor space right?,QM
21,67,Wine,"That’s fine with me,I have no problem with that.",RP
21,68,Grocery,Okay.,MIN
21,69,Wine,What about temperature?,QP
21,70,Grocery,"Temperature,65?",OS
21,71,Wine,"Mmm,ideally for me, it should be at, ideally for me, if I wanted it to favor me more, it’ll probably be 73/ but I’m willing to compromise to make it 69.",IP/PC
21,72,Wine,"Let me add the points right now,do you mind?",OT
21,73,Wine,"Let’s see,mmhmm.",MIN
21,74,Grocery,"8:30,25, 40%...",MIN
21,75,Wine,"I’m going to see what my points would be if I agreed to your offer,like, so…mmm.",OT
21,76,Wine,"Actually,67 degrees, if I compromised there, would you be willing to accept everything else?",OM
21,77,Grocery,"Well,you mean 8:30, 25,000, 40% for me, September 1st, okay.",RP
21,78,Wine,"67 degrees,making a concession for you.",PC
21,79,Grocery,"Okay,that’s fine. I…",MIC
21,80,Wine,I don’t do too badly if that’s the case.,OT
21,81,Grocery,"Okay,I…I think, I think we can agree on that.",RP
21,82,Wine,Okay.,MIN
21,83,Grocery,Alright.,MIN
21,84,Wine,"Well,I guess we shake hands and knock the door.",OT
21,85,Grocery,I didn’t want to be very…you know?,MIN
21,86,Wine,"Right,you’re not supposed to.",OT
21,87,Grocery,So she’s just going to look at the recorder.,OT
22,0,Wine,"Hi,how are you doing?",MI-C
22,1,Grocery,Good how are you?,MI-C
22,2,Wine,"Good,so do you wanna…",MI-C
22,3,Grocery,Start?,PO
22,4,Wine,"Yeah maybe start with what we like most,or however you wanna start?",PO
22,5,Wine,Grocery,Um yeah that’s good.,MI-N
22,6,Wine,Yeah um do you wanna go first?,PO
22,7,Grocery,No you can go.,PO
22,8,Wine,"Okay,one of the most important things for me is getting the renovation done as nicely as possible.",IR
22,9,Wine,And I really like to put some money into that.,IP
22,10,Grocery,Okay so what do you propose on that?,QP
22,11,Wine,About 30 thousand?,IP
22,12,Grocery,"Okay,I don’t like that.",RN
22,13,Grocery,"My part is only for the grocery,",SB-R
22,14,Grocery,"I think 30,000 is too much for me.",IP
22,15,Wine,What do you counter propose?,QP
22,16,Grocery,I would say 15.,OS
22,17,Wine,Wow we’re pretty far off on that one.,IDN
22,18,Grocery,Yeah.,MI-N
22,19,Wine,"Um,okay so do you wanna maybe go on to another one",PM
22,20,Wine,and there could be like a tradeoff where we spend more on this…more of something else.,PP
22,21,Grocery,Sure.,MI-C
22,22,Wine,Um the next most important thing for me is hours of operation.,IR
22,23,Grocery,"Uh huh yeah that’s important to me too,",IR
22,24,Grocery,cuz I know umm my part is grocery so I want to serve customers earlier but for you I guess you wanna serve customers later.,ID-N
22,25,Wine,Yes I do.,MI-N
22,26,Grocery,"Right,cuz when I read the questionnaire I know this will be a different issue between us.",ID-N
22,27,Grocery,But I would say I don’t want to go for the best of your part and the best of my part. I would rather choose some point in between.,PC
22,28,Grocery,Wine,What’s your best case?,QP
22,29,Grocery,"The best case for me,I would say is 7:30 am to 7:30 pm,",IP
22,30,Grocery,but I could do a little bit better for you.,PC
22,31,Wine,"My best is from 10:30 to 10:30,",IP
22,32,Wine,so it sounds like if we compromise on this one…cuz I was thinking I’d be pretty willing to automatically go from 9:30 to 9:30.,PC
22,33,Wine,Much less than that I lose out on much of the party crowd.,SB-R
22,34,Grocery,What about 8:30 to 8:30,OS
22,35,Grocery,because when I told you from 7:30 to 7:30 I have automatically degrade myself.,SB-R
22,36,Grocery,My best part is 6:30 /but I know that’s not possible for you.,IP/INP
22,37,Wine,"Right,6:30 you would lose out on the crowd coming out of work. And you would lose out on that crowd too coming out of work.",SB-R
22,38,Wine,,
22,39,Grocery,"Right,so what about, let’s choose in between 8:30 to 8:30?",OS
22,40,Wine,Let’s start that and maybe come back to that depending on how everything else goes?,PM
22,41,Wine,Okay.,MI-N
22,42,Wine,What’s the next most important thing for you?,QR
22,43,Grocery,The grand opening date.,IR
22,44,Grocery,I would prefer September 1st,IP
22,45,Grocery,because I need to order some stuff from overseas and that’s lonely time.,SB-R
22,46,Grocery,So I have to…the later the better.,IP
22,47,Wine,"Um,you know I..as you already figured out would prefer an earlier date.",IP
22,48,Wine,But this issue is not as important to me as the temperature.,IR
22,49,Wine,I would really like the temperature to be kept low for my wine.,IP
22,50,Grocery,"Uh huh,so what do you propose?",QP
22,51,Wine,So I would give up something for the grand opening date in order to get the temperature done around 65 degrees.,IP
22,52,Grocery,"Then if its 65,then I prefer September 1st.",OM
22,53,Wine,I’d take that.,RP
22,54,Grocery,"Okay,sure!",MI-C
22,55,Wine,Great.,MI-C
22,56,Wine,Okay well that one was easy.,MI-C
22,57,Grocery,Uh huh.,MI-N
22,58,Wine,So that comes down to floor space.,P1
22,59,Grocery,Floor space.,MI-N
22,60,Wine,How much floor space do you want?,QP
22,61,Grocery,Well according to the chart I would say 60 percent but I would…,IP
22,62,Wine,Beautiful!,RP
22,63,Grocery,Really?,QM
22,64,Wine,"If you want 60 percent,40 percent is what I want.",OS
22,65,Grocery,"That’s great,that’s great.",MIC
22,66,Wine,"Okay good,so we have 3 of them solved.",PO
22,67,Grocery,Right.,MI-N
22,68,Wine,That comes back to renovation costs.,P1
22,69,Grocery,Yes.,MI-N
22,70,Wine,"Renovation cost is my most important issue,",IR
22,71,Wine,was it your most important issue also or not?,QR
22,72,Grocery,"No,so I can do at best 20,000.",IP
22,73,Grocery,Is it okay?,QP
22,74,Wine,Um.,MI-N
22,75,Grocery,Cuz I can’t go further.,IB
22,76,Wine,"Right because for me I might be willing to go 7:30 to 7:30 pm if we could up that to 25,000.",OM
22,77,Grocery,Alright.,RP
22,78,Wine,You’ll do that?,QM
22,79,Grocery,Yeah.,MI-N
22,80,Wine,Wow.,MI-C
22,81,Grocery,We are done right?,QM
22,82,Wine,"I think so,let me just look at how I did, because we may need to renegotiate.",MIN
22,83,Wine,Grocery,"Haha,yeah.",MI-N
22,84,Wine,"I’m okay with what I have,that worked out.",MI-C
22,85,Grocery,"Me too,me too.",MI-C
22,86,Wine,Do you want see if there’s any more optimal solutions since we finished so early?,PO
22,87,Grocery,Um yeah.,MI-N
22,88,Wine,"Because there was something it made me,ya know…",MI-N
22,89,Wine,"in order of importance for me,it goes…renovation cost, hours of operation, temperature, floor space, grand opening date.",IR
22,90,Grocery,"And then for me its grand opening date,and then hours of operation, and then temperature, floor space and renovation cost.",IR
22,91,Wine,So renovation cost is totally one that you’re easy to give up on.,INN
22,92,Wine,So that was a good tradeoff.,MIC
22,93,Grocery,Yeah.,MI-N
22,94,Wine,"Grand opening date,if I was gonna trade something off that was good for me because temperature was important to me.  ",PO
22,95,Wine,Um…You know I think we probably..,MI-N
22,96,Grocery,Finished.,MI-N
22,97,Wine,I think we probably maximized it for both of us.,MI-C
22,98,Grocery,Really.,MI-N
22,99,Wine,"That’s what I suspect,because in the long run. if this relationship is gonna work we both have to feel like  we got enough out of it.",MU
22,100,Grocery,"That’s good,very good.",MI-C
22,101,Grocery,It’s even better then what I expect.,MI-C
22,102,Grocery,Because we both are happy.,MI-C
22,103,Wine,Mine is better than my midway point.,Rest OT
22,104,Wine,It’s not fantastic but it’s not bad.,OT
22,105,Grocery,Me too.,OT
22,106,Wine,"As far as…yeah,Um..",OT
22,107,Grocery,There’s no argument or something you know?,OT
22,108,Wine,"If you were gonna get…if I were to up my points drastically someplace,the thing that would up my points a lot would be to um….would be to spend more on renovation",OT
22,109,Wine,but that would decrease your points I’m guessing.,,Wait renovation is your 5th most important?,OT
22,110,Grocery,"Yeah,my last one…",OT
22,111,Grocery,but I have still have at least something because to agree on temperature I get zero points on that.,OT
22,112,Wine,Yeah and I got zero points on grand opening date.,OT
22,113,Wine,But here’s the question.,OT
22,114,Wine,"I could improve my score a little bit,by spending an extra five thousand on  renovation cost but opening up an hour earlier and closing an hour earlier.",OT
22,115,Grocery,What do you mean?,OT
22,116,Wine,What we agreed to was 8:30am to 8:30pm.,OT
22,117,Grocery,730 to 730 is what you said down there.,OT
22,118,Wine,Oh no I said..i thought we agreed to 8:30 to 8:30.,OT
22,119,Wine,Oh did we agreed to 7:30?,OT
22,120,Grocery,"Yeah because you said this way,in this way you can umm..",OT
22,121,Wine,"Right I get the 25,000,so if I did the 6:30 to 6:30…",OT
22,122,Wine,but we spend 30 thousand on renovation costs…that would get me a few more points.,OT
22,123,Grocery,Say it again please.,OT
22,124,Wine,If we opened up at 6:30 to 6:30 but spend more on renovation that would increase my points score.,OT
22,125,Wine,Would that increase your points score?,OT
22,126,Grocery,"Yes,so you say 6:30 and then 30k, also then 60 percent, 65 degrees and then September 1st.",OT
22,127,Grocery,That’s good to me.,OT
22,128,Wine,"That gets me,yep, that improves my point score a little bit.",OT
22,129,Wine,Let’s see if there’s anything else that might improve our points scores.,OT
22,130,Wine,I don’t think so.,OT
22,131,Grocery,Cuz we kind of go for the extreme case.,OT
22,132,Wine,We did go for the extreme case to improve our points score.,OT
22,133,Wine," Because I got my highest on the things that were 3,4,5 to you.",OT
22,134,Grocery,"And me too,yes, yes.",OT
24,0,Group 024
24,1,Name of Coder:Pooja
24,2,Date:4/25/06
24,3,Wine,"Okay then,so uhh…do you want to just uh so I’ll sort of, I’ll give you my first proposal and see if its matches with what you want to do.",PO
24,4,Wine,Is that how you want to do it or do you want to go item by item?,PO
24,5,Grocery,"Umm. Okay,first..",P1
24,6,Wine,First one?,QM
24,7,Wine,Okay so my proposal is I think will work for both us is I like to have the hours of operation 10:30 in the morning til 10:30 in the night.,IP
24,8,Wine,I think that would be good time to get people that are shopping for lunch and shopping for dinner and so forth.,SBR
24,9,Wine,"And then I think we need to do is renovation of this place,we gotta put up a good front to attract people.",SBR
24,10,Wine,"So I think we should go with 30,000 dollars. 30 renovation,then I was thinking maybe I’d take about 30 percent of the spot.",IP
24,11,Wine,I mean the wine doesn’t take up that much room and I’m sure you have more stuff that you need to spread out since you have much more of a variety of grocery stuff than I do with wine.,SBR
24,12,Wine,And I’m thinking maybe to have 65 degrees as the temperature helps keep the wine cool and tasting good.,IP
24,13,Wine,I’m sure it’ll help you too with keeping fruit outside.,SBR
24,14,Wine,I’m thinking maybe we open around July 1st would work really well for me.,IP
24,15,Wine,"So umm,so what do you think?",QM
24,16,Grocery,"So,we have a big difference between us./ First, the hours of operation you think 10:30 to 10:30.",GD/ IN-N
24,17,Grocery,"I sell coffee and specialty pastries and I have breakfast items,/ so the earlier I open the store the better.",SBR/IP
24,18,Wine,I didn’t think about that.,MIC
24,19,Grocery,"If I open at 10:30,I don’t sell well.",SBR
24,20,Grocery,How bout 6:30?,OS
24,21,Wine,"So I don’t know,its too early to close I mean,/ I have to see other people who come after work and buy wine for the evening, they need to buy that too.",IP/ SBR
24,22,Wine,Maybe we can just split this right down the middle and do 8:30 to 8:30.,OS
24,23,Wine,Umm equal arguments both ways.,PC
24,24,Grocery,"Well,sounds good.",RP
24,25,Wine,Sounds good?,QM
24,26,Wine,Okay.,MIN
24,27,Grocery,"I think the renovation costs 30,000 is too high for me. Renovation cost..",IP/P1
24,28,Wine,What would you like to see?,QP
24,29,Grocery,"I couldn’t spend more then,I couldn’t spend more than 10,000.",IP
24,30,Wine,"10,000?",QM
24,31,Wine,"We gotta make the place look nice,I mean we gotta attract customers, 10,000 is way too..",SBR
24,32,Grocery,I don’t need my place to be so fancy.,SBR
24,33,Wine,But I can’t bring customers in later on if you put some money down upfront you’ll make a first impression. You can’t go back on first impressions. You need to put money down and attract the people who want to buy stuff from you.,SBR
24,34,Grocery,"30,000 would be impossible for me..",RN
24,35,Wine,Impossible?,QM
24,36,Wine," Okay,how bout 25,000?",OS
24,37,Wine,"I’ll start downhill,gotta make it look nice.",SBR
24,38,Wine,No?,QM
24,39,Grocery,"You think 5,000,that doesn’t make a lot of difference.",SBR
24,40,Wine,"Gotta have the wide isles to have people walk down and pick up,be able to feel comfortable in the grocery store.",SBR
24,41,Grocery,Actually I don’t have to do that.,SBR
24,42,Wine,Let’s skip that one and go to the next one for now.,PM
24,43,Wine,"So,floor space I was thinking 30 percent for me, I don’t have that much to display.",IP
24,44,Grocery,How about 40 percent for you and 60 percent for me.,OS
24,45,Wine,"I could work with that,sure.",RP
24,46,Grocery,Okay.,MIN
24,47,Grocery,"That’s good,and what did you say about the temperature?",QP
24,48,Wine,I was thinking 65 would be good.,IP
24,49,Grocery,65?,QM
24,50,Wine,"Keep it cool,the fruit stays…doesn’t ripen too fast.",SBR
24,51,Grocery,Yeah.,MIN
24,52,Wine,That works?,QM
24,53,Grocery,"Um,actually I don’t need such a lower temperature /cuz my products stay preserved well at a higher temperatures,",IP/SBR
24,54,Grocery,So I would think about 73 degrees.,IP
24,55,Wine,"73,oh that’s way too high for me.",IP
24,56,Wine,I gotta keep my wine is my whole business here.  ,SBR
24,57,Wine,"Alcohol’s gotta stay cool so I can keep it,keeps it nice, keeps it flavoring.",SBR
24,58,Wine,"I can’t go that,I can’t definitely go that high.",IP
24,59,Grocery,But you can put your wines in the fridge right?,SBR
24,60,Wine,"But that costs more money,the more I have in the fridge space I have the more money it costs to run.",SBR
24,61,Grocery,"Okay,so you need the room temperature at 65 and you know I have 60 percent of the floor space, and it would cost a lot on the electricity.",SBR
24,62,Grocery,Wine,"Alright,so let’s go back and let’s link renovation cost and temperature since that seems to be our big...",PP
24,63,Grocery,no let’s go to opening date.,P1
24,64,Grocery,Is July 1st okay with you?,OS
24,65,Grocery,July 1st?,QM
24,66,Grocery,"Uhh,actually I think September the 1st will be better.",IP
24,67,Wine,September!,RN
24,68,Wine,"September,I gotta start making money man.",SBR
24,69,Grocery,"Yeah,don’t you…",SBR
24,70,Wine,I have my wine.,SBR
24,71,Grocery,Don’t you need to train your employees?,SBR
24,72,Grocery,Or something like that?,QS
24,73,Wine,"I don’t need that,I’m selling wine. Not like I’m expecting a huge rush on my wine all of a sudden.",SBR
24,74,Wine,I have a few employees and they’re all ready to go.,SBR
24,75,Grocery,But I have to have some time to train my employees and make some provisions.,SBR
24,76,Wine,"Okay,alright, alright…so let’s so alright so it seems we have problems with renovation costs, temperature and opening day.",GD
24,77,Wine,"Okay let’s say I’ll move the opening date back to September,but let’s do umm okay so here’s my offer. I’ll move the move in date back to September, and I’ll give you a temperature of 67 degrees if you give me….renovation cost of 20 thousand.",OM
24,78,Grocery,"Umm,okay.",RP
24,79,Wine,Okay?,QM
24,80,Grocery,I can accept that.,RP
24,81,Wine,You can accept that?,QM
24,82,Wine,"Alright so,alright so you got 830, we got 20 thousand renovation, I’ll take 40 percent of floor space, 67 degrees, and September 1st.",MIN
24,83,Grocery,Uhh I think you said the temperature is 73?,OS
24,84,Wine,73!,RN
24,85,Wine,I didn’t go that low.,MINEG
24,86,Grocery,Okay so we still have problem.,IDN
24,87,Wine,"Okay,alright.",MIN
24,88,Grocery,Temperature…grand opening day is September..,IP
24,89,Wine,"But I gave you two months for grand opening day,two months…my wine is gonna be sitting on the shelves not selling.",SBR
24,90,Grocery,"Okay,how bout 69?",OS
24,91,Wine,69?,QM
24,92,Wine,Well um how bout you give me…,MIN
24,93,Grocery,"Yeah,just two degrees up",SBR
24,94,Wine,"Yeah but these are two important degrees,let’s say…",SBR
24,95,Wine,"alright how bout you give me,how bout can we move it back up to July 1st, and I’ll put it down to 69.",OM
24,96,Grocery,Well you said we have agreed on September 1st.,MINEG
24,97,Wine,"It was sort of a package thing,I cant just put it down…",PP
24,98,Wine,okay how bout August 1st and I’ll give you 69.,OM
24,99,Grocery,August 1st and I’ll ask for 71 degrees.,OM
24,100,Wine,71!,RN
24,101,Wine,"Good golly,alright this is looking tough.",IDN
24,102,Wine,"I mean I came down 10,000 and on the renovation cost,I mean I really wanted the 30 thousand.",SBR
24,103,Wine," So come on,67 degrees?",OS
24,104,Wine,"Alright 69 degrees and I’ll give you September 1st,okay we’ll do that.",OM
24,105,Wine,Is that okay?,QM
24,106,Grocery,I can’t accept that /because I prefer the September the 1st and 67.,RN/OM
24,107,Wine,67?,QM
24,108,Grocery,"Yeah,that’s better than the August 1st and 69.",MIN
24,109,Grocery,For me..,MIN
24,110,Wine,"So I’ll say you didn’t want 67 September 1st,you wouldn’t accept that?",OM
24,111,Grocery,No I would say I accept.,RP
24,112,Wine,You’ll accept that.,MIN
24,113,Grocery,September 1st and 69.,OM
24,114,Grocery,How bout?,QM
24,115,Grocery,Come on just two degrees up…,SBR
24,116,Wine,"Ummm,okay..sure.",RP
24,117,Grocery,"Sure,so..",MIN
24,118,Wine,"Alright so yeah 8:30,20,000 40 percent for me…69 degrees and September 1st?",MIN
24,119,Grocery,Yeah.,MIN
24,120,Wine,"Alright,sounds like we got a deal.",MIC
24,121,Grocery,Yeah.,MIN
24,122,Grocery,We’re done.,MIN
